Date/Time;Open;High;Low;Close;Range (high - low)
25/11/2002;930.55;937.15;923.31;932.89;13.84
26/11/2002;932.87;932.87;912.1;913.29;20.77
27/11/2002;913.31;940.41;913.31;938.98;27.1
29/11/2002;938.87;941.82;935.58;936.31;6.24
02/12/2002;936.31;954.28;927.72;934.53;26.56
03/12/2002;934.53;934.53;918.73;920.75;15.8
04/12/2002;920.75;925.25;909.51;917.53;15.74
05/12/2002;917.58;921.49;905.9;906.55;15.59
06/12/2002;906.55;915.48;895.96;912.23;19.52
09/12/2002;912.23;912.23;891.97;892;20.26
10/12/2002;892;904.95;892;904.41;12.95
11/12/2002;904.45;909.94;896.48;904.94;13.46
12/12/2002;904.96;908.37;897;901.53;11.37
13/12/2002;901.58;901.58;888.48;889.5;13.1
16/12/2002;889.48;910.41;889.48;910.41;20.93
17/12/2002;910.4;911.22;901.74;902.96;9.48
18/12/2002;902.99;902.99;887.82;891.12;15.17
19/12/2002;890.02;899.19;880.32;884.27;18.87
20/12/2002;884.25;897.79;884.25;895.85;13.54
23/12/2002;895.74;902.43;892.26;897.38;10.17
24/12/2002;897.38;897.38;892.29;892.47;5.09
26/12/2002;892.47;903.89;887.48;889.66;16.41
27/12/2002;889.66;890.46;873.62;875.42;16.84
30/12/2002;875.4;882.1;870.23;879.39;11.87
31/12/2002;879.39;881.93;869.45;879.82;12.48
02/01/2003;879.82;909.03;879.82;909.03;29.21
03/01/2003;909.03;911.25;903.07;908.6;8.18
06/01/2003;908.59;931.77;908.59;929.03;23.18
07/01/2003;929.01;930.81;919.93;922.93;10.88
08/01/2003;922.93;922.93;908.32;909.94;14.61
09/01/2003;909.93;928.31;909.93;927.58;18.38
10/01/2003;927.58;932.89;917.66;927.57;15.23
13/01/2003;927.57;935.05;922.05;926.27;13
14/01/2003;926.26;931.66;921.72;931.66;9.94
15/01/2003;931.66;932.59;916.7;918.22;15.89
16/01/2003;918.22;926.03;911.98;914.63;14.05
17/01/2003;914.6;914.6;899.02;901.78;15.58
21/01/2003;901.78;906;887.62;887.62;18.38
22/01/2003;887.62;889.74;877.64;878.36;12.1
23/01/2003;878.36;890.25;876.89;887.34;13.36
24/01/2003;887.34;887.34;859.71;861.4;27.63
27/01/2003;861.4;863.95;844.25;847.48;19.7
28/01/2003;847.48;860.76;847.48;858.54;13.28
29/01/2003;858.54;868.72;845.86;864.37;22.86
30/01/2003;864.36;865.48;843.74;844.58;21.74
31/01/2003;844.61;858.33;840.34;855.7;17.99
03/02/2003;855.7;864.64;855.7;860.31;8.94
